Starting training with parameters:
Using CUDA device 0 - NVIDIA L20
Using save prefix "saved_models/model"
Training with SAM: lr=1e-05
	num_epochs: 30
	batch_size: 16
	module 1 weight: 1.0
	module 2 weight: 1.0
******************************** FOLD 0 ******************************
Loaded 1745 training pairs
Embedded successfully...
[1/30] training 6.4%: Loss=0.0480409, MSE=0.0480409, MAE=0.168816
[1/30] training 11.8%: Loss=0.0483327, MSE=0.0483327, MAE=0.172164
[1/30] training 17.3%: Loss=0.0499472, MSE=0.0499472, MAE=0.173657
[1/30] training 22.7%: Loss=0.0475479, MSE=0.0475479, MAE=0.169036
[1/30] training 29.1%: Loss=0.0448904, MSE=0.0448904, MAE=0.164549
[1/30] training 34.5%: Loss=0.0431689, MSE=0.0431689, MAE=0.161731
[1/30] training 40.0%: Loss=0.0427187, MSE=0.0427187, MAE=0.160904
[1/30] training 45.5%: Loss=0.042431, MSE=0.042431, MAE=0.160464
[1/30] training 51.8%: Loss=0.0422203, MSE=0.0422203, MAE=0.159876
[1/30] training 57.3%: Loss=0.0412944, MSE=0.0412944, MAE=0.158422
[1/30] training 62.7%: Loss=0.0416595, MSE=0.0416595, MAE=0.158528
[1/30] training 68.2%: Loss=0.0414756, MSE=0.0414756, MAE=0.158073
[1/30] training 74.5%: Loss=0.0412693, MSE=0.0412693, MAE=0.157904
[1/30] training 80.0%: Loss=0.0414324, MSE=0.0414324, MAE=0.158026
[1/30] training 85.5%: Loss=0.0411344, MSE=0.0411344, MAE=0.158074
[1/30] training 90.9%: Loss=0.0405952, MSE=0.0405952, MAE=0.157328
[1/30] training 97.3%: Loss=0.0404482, MSE=0.0404482, MAE=0.157041
-----------------------------------Finished Epoch 1/30: Loss=109.743, RMSE=1.53818, MAE=1.94872, r_2=-9.24357, p=0.283903
[2/30] training 6.4%: Loss=0.0498221, MSE=0.0498221, MAE=0.177333
[2/30] training 11.8%: Loss=0.0418916, MSE=0.0418916, MAE=0.159201
[2/30] training 17.3%: Loss=0.0392704, MSE=0.0392704, MAE=0.154722
[2/30] training 22.7%: Loss=0.0393656, MSE=0.0393656, MAE=0.154638
[2/30] training 29.1%: Loss=0.0396303, MSE=0.0396303, MAE=0.155321
[2/30] training 34.5%: Loss=0.0378917, MSE=0.0378917, MAE=0.151252
[2/30] training 40.0%: Loss=0.037166, MSE=0.037166, MAE=0.15029
[2/30] training 45.5%: Loss=0.0374867, MSE=0.0374867, MAE=0.150374
[2/30] training 51.8%: Loss=0.0378032, MSE=0.0378032, MAE=0.15147
[2/30] training 57.3%: Loss=0.0376702, MSE=0.0376702, MAE=0.151848
[2/30] training 62.7%: Loss=0.0374389, MSE=0.0374389, MAE=0.151856
[2/30] training 68.2%: Loss=0.036748, MSE=0.036748, MAE=0.150195
[2/30] training 74.5%: Loss=0.0367749, MSE=0.0367749, MAE=0.150417
[2/30] training 80.0%: Loss=0.0369833, MSE=0.0369833, MAE=0.150617
[2/30] training 85.5%: Loss=0.0367785, MSE=0.0367785, MAE=0.150504
[2/30] training 90.9%: Loss=0.0367944, MSE=0.0367944, MAE=0.150469
[2/30] training 97.3%: Loss=0.0364078, MSE=0.0364078, MAE=0.149799
-----------------------------------Finished Epoch 2/30: Loss=109.603, RMSE=1.44845, MAE=1.85686, r_2=-5.75189, p=0.41523
[3/30] training 6.4%: Loss=0.026687, MSE=0.026687, MAE=0.128461
[3/30] training 11.8%: Loss=0.0323782, MSE=0.0323782, MAE=0.143088
[3/30] training 17.3%: Loss=0.0291547, MSE=0.0291547, MAE=0.136038
[3/30] training 22.7%: Loss=0.0295, MSE=0.0295, MAE=0.136108
[3/30] training 29.1%: Loss=0.032021, MSE=0.032021, MAE=0.140987
[3/30] training 34.5%: Loss=0.033085, MSE=0.033085, MAE=0.143255
[3/30] training 40.0%: Loss=0.0333484, MSE=0.0333484, MAE=0.143321
[3/30] training 45.5%: Loss=0.0333112, MSE=0.0333112, MAE=0.143309
